Feature_Class,Missing_ASSETIDs,Rule_Type,Step_Num,Step_Name,Detail,Tool,Est_Time,Status,Notes
TRN_bus_pad,TBD,TBD,INV-2,Confirm rule type (A or B),"Check existing attribute rules; note Bus Pads use a separate sequence from sectravid","ArcGIS Pro / SQL Server",15 min,,Confirmed: Bus Pads use a separate sequence (see TROUBLESHOOTING.md Q7)
TRN_bus_pad,TBD,TBD,INV-3,Identify primary ID field name,Confirm which field ASSETID should mirror,ArcGIS Pro / SQL Server,5 min,,
TRN_bus_pad,TBD,TBD,INV-4,Identify associated services,List all AGS/Cityworks services referencing this feature class,ArcGIS Server Manager,10 min,,
TRN_bus_pad,TBD,TBD,INV-5,Document findings and update MISSING_ASSETID_WORKFLOW.md,Add record count / rule type / services to the feature class table before scheduling work,Text editor,10 min,,
BLD_electrical,TBD,TBD,INV-1,Investigate missing ASSETID count,"Run: SELECT COUNT(*) FROM [GISRW01].[sdeadm].[BLD_electrical] WHERE ASSETID IS NULL OR ASSETID = ''; record count",SQL Server,10 min,,See TASK0319535
BLD_electrical,TBD,TBD,INV-2,Confirm rule type (A or B),"Check existing attribute rules: same sequence (Type A) or separate sequences (Type B)?",ArcGIS Pro / SQL Server,15 min,,
BLD_electrical,TBD,TBD,INV-3,Identify primary ID field name,Confirm which field ASSETID should mirror,ArcGIS Pro / SQL Server,5 min,,
BLD_electrical,TBD,TBD,INV-4,Identify associated services,List all AGS/Cityworks services referencing this feature class,ArcGIS Server Manager,10 min,,
BLD_electrical,TBD,TBD,INV-5,Document findings and update MISSING_ASSETID_WORKFLOW.md,Add record count / rule type / services to the feature class table before scheduling work,Text editor,10 min,,
BLD_exterior,TBD,TBD,INV-1,Investigate missing ASSETID count,"Run: SELECT COUNT(*) FROM [GISRW01].[sdeadm].[BLD_exterior] WHERE ASSETID IS NULL OR ASSETID = ''; record count",SQL Server,10 min,,See TASK0319535
BLD_exterior,TBD,TBD,INV-2,Confirm rule type (A or B),"Check existing attribute rules: same sequence (Type A) or separate sequences (Type B)?",ArcGIS Pro / SQL Server,15 min,,
BLD_exterior,TBD,TBD,INV-3,Identify primary ID field name,Confirm which field ASSETID should mirror,ArcGIS Pro / SQL Server,5 min,,
BLD_exterior,TBD,TBD,INV-4,Identify associated services,List all AGS/Cityworks services referencing this feature class,ArcGIS Server Manager,10 min,,
BLD_exterior,TBD,TBD,INV-5,Document findings and update MISSING_ASSETID_WORKFLOW.md,Add record count / rule type / services to the feature class table before scheduling work,Text editor,10 min,,
BLD_mechanical,TBD,TBD,INV-1,Investigate missing ASSETID count,"Run: SELECT COUNT(*) FROM [GISRW01].[sdeadm].[BLD_mechanical] WHERE ASSETID IS NULL OR ASSETID = ''; record count",SQL Server,10 min,,See TASK0319535
BLD_mechanical,TBD,TBD,INV-2,Confirm rule type (A or B),"Check existing attribute rules: same sequence (Type A) or separate sequences (Type B)?",ArcGIS Pro / SQL Server,15 min,,
BLD_mechanical,TBD,TBD,INV-3,Identify primary ID field name,Confirm which field ASSETID should mirror,ArcGIS Pro / SQL Server,5 min,,
BLD_mechanical,TBD,TBD,INV-4,Identify associated services,List all AGS/Cityworks services referencing this feature class,ArcGIS Server Manager,10 min,,
BLD_mechanical,TBD,TBD,INV-5,Document findings and update MISSING_ASSETID_WORKFLOW.md,Add record count / rule type / services to the feature class table before scheduling work,Text editor,10 min,,
